"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","122","500","78","94","20","6","""1040516633""","33.6636697997548","33.6636697997548","33.6636697997548","0","33.6636697997548"
"1","123","500","78","94","20","6","""-1483566124""","33.72779855703395","33.72779855703395","33.72779855703395","0","33.72779855703395"
"1","124","500","78","94","20","6","""-1748033974""","33.80612724560077","33.80612724560077","33.80612724560077","0","33.80612724560077"
"1","125","500","78","94","20","6","""-137170530""","33.746736292428196","33.746736292428196","33.746736292428196","0","33.746736292428196"
"1","126","500","78","94","20","6","""-1052482350""","33.84313404759958","33.84313404759958","33.84313404759958","0","33.84313404759958"
"1","127","500","78","94","20","6","""1073026739""","33.892665401024765","33.892665401024765","33.892665401024765","0","33.892665401024765"
"1","128","500","78","94","20","6","""-840439541""","33.75304547222734","33.75304547222734","33.75304547222734","0","33.75304547222734"
"1","129","500","78","94","20","6","""1352123904""","33.2856295872263","33.2856295872263","33.2856295872263","0","33.2856295872263"
"1","130","500","78","94","20","6","""435166686""","33.4488415009227","33.4488415009227","33.4488415009227","0","33.4488415009227"
"1","131","500","96","84","14","13","""-1565426619""","38.52897227295367","38.52897227295367","38.52897227295367","0","38.52897227295367"
"1","132","500","96","84","14","13","""-1345863708""","38.661623701934246","38.661623701934246","38.661623701934246","0","38.661623701934246"
"1","133","500","96","84","14","13","""-733010909""","38.613697084349745","38.613697084349745","38.613697084349745","0","38.613697084349745"
"1","134","500","96","84","14","13","""-546557237""","38.71342891794454","38.71342891794454","38.71342891794454","0","38.71342891794454"
"1","135","500","96","84","14","13","""8476026""","38.701178186156724","38.701178186156724","38.701178186156724","0","38.701178186156724"
"1","136","500","96","84","14","13","""898744756""","38.563242255626605","38.563242255626605","38.563242255626605","0","38.563242255626605"
"1","137","500","96","84","14","13","""1241524726""","38.59136697811042","38.59136697811042","38.59136697811042","0","38.59136697811042"
"1","138","500","96","84","14","13","""260104218""","38.7368106709138","38.7368106709138","38.7368106709138","0","38.7368106709138"
"1","139","500","96","84","14","13","""41043861""","38.55333698484622","38.55333698484622","38.55333698484622","0","38.55333698484622"
"1","140","500","96","84","14","13","""1566203572""","38.582507182118604","38.582507182118604","38.582507182118604","0","38.582507182118604"
"1","141","500","73","40","19","13","""1710155608""","1.1087737750898414","1.1087737750898414","1.1087737750898414","0","1.1087737750898414"
"1","142","500","73","40","19","13","""753654369""","1.2867083898638891","1.2867083898638891","1.2867083898638891","0","1.2867083898638891"
"1","143","500","73","40","19","13","""-833945449""","1.2424665909686434","1.2424665909686434","1.2424665909686434","0","1.2424665909686434"
"1","144","500","73","40","19","13","""-675412574""","1.4048643427868996","1.4048643427868996","1.4048643427868996","0","1.4048643427868996"
"1","145","500","73","40","19","13","""-820468907""","1.2066299305207675","1.2066299305207675","1.2066299305207675","0","1.2066299305207675"
"1","146","500","73","40","19","13","""66099663""","1.2422768502694885","1.2422768502694885","1.2422768502694885","0","1.2422768502694885"
"1","147","500","73","40","19","13","""-307786503""","1.1378994637485285","1.1378994637485285","1.1378994637485285","0","1.1378994637485285"
"1","148","500","73","40","19","13","""-1003791597""","1.4447208764349002","1.4447208764349002","1.4447208764349002","0","1.4447208764349002"
"1","149","500","73","40","19","13","""-12337938""","1.3266780507027454","1.3266780507027454","1.3266780507027454","0","1.3266780507027454"
