"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","73","160","42","66","22","16","""-1641332298""","1.679062429569529","1.679062429569529","1.679062429569529","0","1.679062429569529"
"1","74","160","42","66","22","16","""1417822038""","1.6776875118080483","1.6776875118080483","1.6776875118080483","0","1.6776875118080483"
"1","75","160","42","66","22","16","""-901300500""","1.6953018093355632","1.6953018093355632","1.6953018093355632","0","1.6953018093355632"
"1","76","160","42","66","22","16","""-1747295578""","1.5916720099573793","1.5916720099573793","1.5916720099573793","0","1.5916720099573793"
"1","77","160","42","66","22","16","""-1414791109""","1.596571731957981","1.596571731957981","1.596571731957981","0","1.596571731957981"
"1","78","160","42","66","22","16","""2099914567""","1.7475728155339807","1.7475728155339807","1.7475728155339807","0","1.7475728155339807"
"1","79","160","42","66","22","16","""-176615327""","1.6239186522992868","1.6239186522992868","1.6239186522992868","0","1.6239186522992868"
"1","80","160","42","66","22","16","""844968701""","1.507290285930695","1.507290285930695","1.507290285930695","0","1.507290285930695"
"1","81","160","58","93","5","12","""923804545""","6.542081796664282","6.542081796664282","6.542081796664282","0","6.542081796664282"
"1","82","160","58","93","5","12","""-580507152""","5.679250482226509","5.679250482226509","5.679250482226509","0","5.679250482226509"
"1","83","160","58","93","5","12","""1582475663""","8.093274718073342","8.093274718073342","8.093274718073342","0","8.093274718073342"
"1","84","160","58","93","5","12","""-1531924916""","11.599857131082231","11.599857131082231","11.599857131082231","0","11.599857131082231"
"1","85","160","58","93","5","12","""-1996618585""","9.130804465289778","9.130804465289778","9.130804465289778","0","9.130804465289778"
"1","86","160","58","93","5","12","""924962613""","6.935607722685388","6.935607722685388","6.935607722685388","0","6.935607722685388"
"1","87","160","58","93","5","12","""-357743217""","8.30132777351037","8.30132777351037","8.30132777351037","0","8.30132777351037"
"1","88","160","58","93","5","12","""1761829519""","5.684308568923954","5.684308568923954","5.684308568923954","0","5.684308568923954"
